stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
100	55.6	-0.360073	1.47002	0.803249	0.860794	1.74681	1.85185	0.943278	0.157052	0.153417	0.0845737	0.915091	0.4611	0.94985	1.02806	0.951028	0.0520975	0	ground	0	ground
101	56.16	-0.216398	1.39194	0.865452	0.87598	1.75315	1.78571	0.981764	0.179756	0.163523	0.0274632	0.319617	0.517806	0.989732	0.992206	0.944665	0.0511329	0	ground	0	ground
102	56.72	-0.141405	1.53652	0.915726	0.862404	1.70573	1.78571	0.955211	0.18185	0.162877	0.0161515	0.204585	0.542005	0.966544	0.99298	0.941102	0.052287	0	ground	0	ground
103	57.28	0.618288	1.38722	0.691704	0.818594	1.76134	1.85185	0.951121	0.222391	0.774226	0.141696	1.66266	2.22556	0.966036	1.0267	0.932958	0.109209	0	ground	0	ground
104	57.82	-0.0155696	1.25369	0.987733	0.852773	1.72283	1.78571	0.964785	0.165126	0.647769	0.124242	1.39403	1.71427	0.981887	0.991022	0.947284	0.198885	0	ground	0	ground
105	58.38	0.297433	1.43471	0.828285	0.85778	1.73227	1.78571	0.970069	0.16679	0.361574	0.104092	1.14864	0.961023	0.988523	0.991912	0.947281	0.205312	0	ground	0	ground
106	58.94	-0.0130467	1.46733	0.991186	0.882927	1.75662	1.78571	0.983707	0.174041	0.312188	0.0849246	0.943064	0.844131	1.00218	0.992715	0.946558	0.200002	0	ground	0	ground
107	59.5	0.309718	1.55468	0.833877	0.866557	1.72895	1.85185	0.933634	0.248336	0.334377	0.0659867	0.752884	0.912879	0.955833	1.02646	0.923228	0.179263	0	ground	0	ground
108	60.04	0.0698189	1.85622	0.963749	0.920966	1.77055	1.78571	0.99151	0.175532	0.385326	0.0601193	0.70818	1.04654	1.01356	0.990808	0.946819	0.0688104	0	ground	0	down
109	60.6	-0.297228	1.70708	0.851705	0.893761	2.4551	1.78571	1.37485	0.128127	0.396189	0.0749798	0.893666	1.06792	1.35066	0.991719	0.979182	0.072223	0	ground	0	down
110	61.16	-0.463446	1.77495	0.792955	0.886695	2.43466	1.78571	1.36341	0.200015	0.17954	0.0948882	1.11633	0.510279	1.29545	0.992541	0.967347	0.0769025	0.13197	ground	0	down
111	61.72	-0.227543	1.8486	0.890401	0.866537	2.49793	1.85185	1.34888	0.213549	0.247135	0.0886419	1.0384	0.723939	1.24654	1.02629	0.966888	0.12735	0.160612	ground	0	down
112	62.26	-0.293969	1.60986	0.84559	0.86888	2.47738	1.78571	1.38733	0.121745	0.24781	0.03898	0.482869	0.746372	1.2469	0.990668	0.980547	0.132852	0.182185	stair	0	down
113	62.82	-0.0689293	2.10223	0.968252	0.869781	2.45203	1.78571	1.37314	0.165831	0.541356	0.0439445	0.544368	1.6305	1.23414	0.990668	0.97313	0.14165	0.195174	stair	0	down
114	63.38	-0.108545	1.62508	0.937388	0.886917	2.46664	1.78571	1.38132	0.169726	0.478784	0.052006	0.644231	1.44204	1.24149	0.990668	0.972845	0.180649	0.206754	stair	0	down
115	63.94	-0.184258	1.92735	0.91274	0.910874	2.50506	1.78571	1.40283	0.12013	0.311608	0.041353	0.512265	0.938526	1.26083	0.990668	0.981215	0.11624	0.220274	stair	0	down
116	64.5	0.0880626	2.00991	0.958024	0.924399	2.43852	1.78891	1.36313	0.1586	0.284559	0.0567043	0.702431	0.857057	1.22515	0.99244	0.97398	0.0295811	0.221492	stair	0	down
117	65.04	0.172014	1.3703	0.888469	0.932975	2.45089	1.84843	1.32593	0.1541	0.645094	0.0904754	1.12077	1.94294	1.19171	1.02546	0.974988	0.0310174	0.214048	stair	0	down
118	65.6	-0.0708569	2.0026	0.965826	0.93249	2.47703	1.78571	1.38714	0.171526	0.67734	0.0803356	0.995166	2.04007	1.24673	0.990668	0.972803	0.0672059	0.222217	stair	0	down
119	66.16	-0.317857	1.73402	0.84509	0.91403	2.41997	1.78571	1.35518	0.162701	0.364887	0.0895399	1.10919	1.09899	1.218	0.990668	0.972902	0.0600082	0.221164	stair	0	down
120	66.72	-0.273296	1.99499	0.879514	0.907385	2.4523	1.78571	1.37329	0.222715	0.26474	0.09908	1.22737	0.797363	1.23428	0.990668	0.964265	0.0622706	0.224442	stair	0	down
121	67.28	-0.417007	2.25172	0.843743	0.884528	2.48551	1.78571	1.39189	0.148311	0.294219	0.13336	1.65201	0.88615	1.25099	0.990668	0.97655	0.118503	0.231079	stair	0	down
122	67.84	-0.148127	2.20152	0.936958	0.894226	2.42148	1.85185	1.3076	0.134277	0.273525	0.048664	0.60283	0.823825	1.17524	1.02736	0.977606	0.131057	0.21712	stair	0	down
123	68.38	0.513301	2.01517	0.796991	0.860459	2.47947	1.78571	1.3885	0.182756	0.687178	0.143906	1.78265	2.0697	1.24795	0.990668	0.971131	0.145894	0.224828	stair	0	down
124	68.94	-0.184806	2.11732	0.919723	0.875386	2.47931	1.78571	1.38841	0.167474	0.70554	0.11334	1.40401	2.125	1.24787	0.990668	0.973396	0.0845259	0.230589	stair	0	down
125	69.5	-0.0279159	2.20367	0.98749	0.896981	2.47241	1.78571	1.38455	0.170494	0.179085	0.103013	1.27609	0.539383	1.2444	0.990668	0.972826	0.0756855	0.234041	stair	0	down
126	70.06	-0.217562	1.44474	0.869119	0.902056	2.44224	1.85185	1.31881	0.165532	0.782268	0.154236	1.91061	2.3561	1.18531	1.02736	0.972968	0.0752956	0.22186	stair	0	ground
127	70.6	0.126153	1.4977	0.922312	0.899127	1.78412	1.78571	0.999106	0.128264	0.347772	0.172984	2.14285	1.04745	0.897972	0.990668	0.961262	0.153426	0.140888	stair	0	ground
128	71.16	0.0027332	1.45393	0.998123	0.939353	1.77005	1.85185	0.955824	0.158476	0.130953	0.133008	1.64766	0.394414	0.859072	1.02736	0.95174	0.13637	0	stair	0	ground
129	71.72	-0.527453	1.31121	0.713132	0.898035	1.77513	1.72414	1.02957	0.147704	0.54906	0.152287	1.88647	1.6537	0.925355	0.956507	0.955089	0.102002	0	stair	0	ground
130	72.28	0.122081	1.28251	0.913084	0.883154	1.7412	1.78571	0.97507	0.218624	0.650167	0.0687347	0.851459	1.95822	0.876369	0.990668	0.932584	0.0882627	0	ground	0	ground
131	72.82	0.577661	1.44271	0.714081	0.852146	1.75815	1.85185	0.9494	0.150201	0.482926	0.132104	1.53854	1.39128	0.866002	1.02456	0.953653	0.0876061	0	ground	0	ground
132	73.38	-0.0811567	1.32174	0.94215	0.856114	1.75608	1.78571	0.983404	0.200599	0.669831	0.131424	1.45348	1.76559	0.906352	0.989155	0.938851	0.138473	0	ground	0	ground
133	73.94	-0.000745474	1.38295	0.999461	0.856381	1.73209	1.85185	0.93533	0.14968	0.101055	0.129656	1.3743	0.287455	0.874104	1.02315	0.952446	0.167875	0	ground	0	ground
