time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.352	-0.214888	-0.405455	0.100658	-0.243478	-0.59347	1.03474	-0.619341	0.167048	1	0	1	1	0.1	0.470567	1.48141	3.57143	1.6806	0	99	3.03129e-314	0.562601	0.301517	0.969626	1.19297	-0.223347	ground	0	ground	0	-1	1
1.386	-0.173337	-0.523165	0.29453	-0.200918	-0.707624	1.22247	-0.683608	0.271626	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.982268	1.1701	-0.187836	ground	0	ground	1	2	2
1.396	-0.150253	-0.660865	0.629782	-0.176944	-0.841098	1.54993	-0.77442	0.372865	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.01065	1.15457	-0.143923	ground	0	ground	0	-1	2
1.413	0.036666	-0.806144	0.83762	0.00992467	-0.981445	1.74898	-0.771385	0.606876	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.04757	1.14592	-0.0983527	ground	0	ground	0	-1	2
1.433	-0.051537	-0.506065	0.716529	-0.0778869	-0.677959	1.61975	-0.584982	0.351414	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.07618	1.12275	-0.0465686	ground	0	ground	0	-1	2
1.453	-0.506944	-0.219633	-0.021427	-0.530627	-0.389569	0.877383	-0.631557	-0.185651	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.06624	1.09952	-0.0332849	ground	0	ground	0	-1	2
1.472	-0.147385	-0.521373	-0.522653	-0.170213	-0.687853	0.374276	-0.651236	0.279296	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.03164	1.07998	-0.0483369	ground	0	ground	0	-1	2
1.493	-0.206983	-0.67827	-0.646627	-0.228662	-0.840526	0.249051	-0.810573	0.31897	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.992509	1.06953	-0.0770212	ground	0	ground	0	-1	2
1.512	-0.440534	-0.376441	-0.582573	-0.459902	-0.536004	0.311539	-0.704231	-0.0535603	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.958461	1.05137	-0.0929064	ground	0	ground	0	-1	2
1.532	-0.596272	-0.014486	-0.044264	-0.612562	-0.173178	0.845599	-0.496106	-0.398876	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.952818	1.03063	-0.0778097	ground	0	ground	0	-1	2
