stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
114	65.65	-0.651102	0.68838	0.513915	0.627039	1.73882	1.72712	1.00678	2.29464	0.917879	0.809576	1.33558	0.805484	1.06863	0.98671	0.88899	0.566581	0.0660994	0.1	ground	0	ground
115	66.211	-0.370231	0.951998	0.719994	0.613383	1.92031	1.78891	1.07345	2.28269	0.385205	0.346931	0.597913	0.362	1.12373	1.01977	0.92181	0.615574	0.0606794	0.9	ground	0	ground
116	66.749	-0.249787	-0.0395721	0.136758	0.493006	1.82595	1.78571	1.02253	3.21778	0.998858	0.335534	0.603731	0.944476	1.06294	1.01612	0.878118	0.504675	0.0671183	0	ground	0	ground
117	67.349	0.434035	1.54274	0.780432	0.598511	1.54552	1.72712	0.894857	1.93652	1.72375	0.475573	0.868234	1.53332	0.936757	0.984474	0.816374	0.549032	0.172661	0.5	ground	0	ground
118	67.885	-0.0596665	0.932226	0.939845	0.618189	2.13671	1.78571	1.19656	2.2085	0.785154	0.39259	0.737631	0.720132	1.22173	1.01606	0.795865	0.67301	0.160384	0.55	ground	0	ground
119	68.506	0.847956	0.589283	0.41001	0.597408	1.71271	1.85185	0.924862	1.49597	0.970252	0.475862	0.903658	0.899808	0.949603	1.04806	0.802973	0.66226	0.213445	0.6	ground	0	ground
120	69.225	0.737133	3.83962	0.83894	0.621197	1.76063	1.78891	0.984191	1.18753	3.25223	1.96981	2.936	2.51005	1.00946	1.01118	0.788891	0.714258	0.235078	0.5	ground	0	down
121	69.725	-0.50905	2.92872	0.851924	0.76423	2.95498	1.39276	2.12167	1.09286	1.5436	1.77464	2.27143	1.16898	1.94713	0.804371	0.798905	0.888758	0.271725	0.5	ground	0	down
122	70.284	0.909154	4.7821	0.840254	0.776195	2.90039	2.00401	1.44729	1.76364	2.33373	2.96796	2.96809	1.64139	1.28602	1.13946	0.96149	0.82484	0.0267404	0.6	ground	0	down
123	70.782	-0.724879	4.05261	0.848272	0.75788	3.80702	1.85529	2.05198	0.607218	1.78948	2.6154	2.25174	1.22687	1.68463	1.04914	0.96707	0.959769	0.106647	0.7	stair	0	down
124	71.361	-0.708221	4.86603	0.872948	0.850467	3.63018	1.84843	1.96393	2.22734	0.813591	1.02648	0.88375	0.557802	1.61234	1.04526	0.984293	0.854408	0.0452443	0.6	stair	0	down
125	71.865	-0.392919	5.08651	0.928292	0.868338	3.8048	1.85185	2.05459	1.61332	0.384744	0.992828	0.85478	0.263782	1.68677	1.04719	0.995363	0.899518	0.208524	0.6	stair	0	down
126	72.405	0.272663	2.58241	0.904499	0.878853	3.41891	2.08768	1.63766	1.80344	2.59104	1.23573	1.06391	1.77643	1.34448	1.18055	0.997261	0.866203	0.256326	0.6	stair	0	down
