time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.944	0.492763	0.073595	1.52616	0.617189	0.61102	2.2913	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.40837	1.19307	0.215297	ground	0	ground	0	-1	3
1.964	1.2182	0.153257	0.539433	1.33592	0.687228	1.29805	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.40285	1.20853	0.194319	ground	0	ground	0	-1	3
1.983	1.24607	-0.25328	0.016147	1.35697	0.279288	0.770891	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.37125	1.21738	0.153877	ground	0	ground	0	-1	3
2.002	-0.310277	-0.781201	2.0469	-0.198386	-0.24739	2.78764	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.44207	1.17236	0.26971	ground	0	ground	0	-1	3
2.021	-2.46873	-0.397319	5.65492	-2.34505	0.135809	6.36368	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.68815	1.23119	0.456959	ground	0	ground	0	-1	3
2.041	-3.58837	0.235689	6.86508	-3.44737	0.764973	7.53597	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.98054	1.34619	0.634348	ground	0	ground	0	-1	3
2.06	-2.80907	0.189678	4.42942	-2.65474	0.715368	5.0748	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	2.13526	1.41636	0.718899	ground	0	ground	0	-1	3
2.08	-1.78055	-0.475079	1.4552	-1.61808	0.0503575	2.09008	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	2.133	1.42648	0.706515	ground	0	ground	0	-1	3
2.098	-1.63156	-0.977149	0.630861	-1.46175	-0.449454	1.25942	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	2.08932	1.43162	0.657696	ground	0	ground	0	-1	3
2.119	-1.51628	-1.15712	0.739336	-1.33973	-0.626282	1.36105	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	2.0529	1.43399	0.618919	ground	0	ground	0	-1	3
2.137	-1.18618	-1.007	0.454848	-1.00458	-0.473776	1.07118	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	2.00382	1.41782	0.585998	ground	0	ground	0	-1	3
2.156	-0.702278	-1.14277	0.007383	-0.518078	-0.6065	0.620597	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.93466	1.38681	0.547845	ground	0	ground	0	-1	3
2.175	-0.244658	-1.51473	-0.675238	-0.0601562	-0.97357	-0.061714	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.84101	1.36624	0.474767	ground	0	ground	0	-1	3
2.195	0.154327	-0.904501	-2.13706	0.337135	-0.361521	-1.51592	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.82476	1.32265	0.502108	ground	0	ground	0	-1	3
2.214	0.516417	-0.117617	-3.3298	0.695729	0.423236	-2.69512	1.91877	0.838307	1.08399	0.768938	0.105254	1.1757	1.40097	1.73611	2.04115	1.30239	2.36201	0.731369	0.0145732	1.86827	1.29723	0.571041	ground	0	ground	0	-1	3
